window,rmse,mape,smape,mae,r2,nrmse
0,83.579,31.577,12.911,40.0,0.494,0.174
657,94.045,30.324,13.828,42.866,0.534,0.116
1314,85.917,31.463,13.637,42.439,0.742,0.104
1971,11.868,21.665,10.097,8.354,0.658,0.119
2628,71.41,26.856,11.742,31.646,0.323,0.125
3285,52.359,25.37,11.61,23.171,0.401,0.128
3942,111.043,27.215,11.983,46.951,0.295,0.152
4599,61.605,24.612,11.656,25.732,0.559,0.092
5256,47.312,22.789,10.801,20.793,0.41,0.097
5913,95.678,27.999,12.309,39.207,0.434,0.126
6570,73.919,32.127,12.881,29.695,0.262,0.134
7227,65.318,23.459,10.639,26.524,0.518,0.111
7884,60.918,25.334,10.891,23.659,0.651,0.09
8541,93.694,31.382,14.243,48.841,0.54,0.136
9198,68.007,25.518,11.467,30.305,0.568,0.102
9855,19.693,17.814,8.555,11.951,0.677,0.104
10512,96.199,29.126,13.019,43.72,0.303,0.153
11169,10.792,18.318,8.918,8.354,0.025,0.18
11826,70.758,31.303,12.479,30.915,-0.2,0.161
12483,30.081,16.774,8.002,13.049,0.533,0.086
13140,81.308,24.86,11.198,35.976,0.438,0.107
13797,43.012,23.231,10.967,19.146,0.599,0.083
14454,12.855,14.039,6.812,9.207,0.544,0.143
15111,76.95,25.207,11.681,33.354,0.496,0.101
15768,54.196,22.541,9.858,22.012,0.26,0.123
16425,62.645,25.97,11.085,23.293,-0.391,0.169
17082,103.155,23.325,11.082,48.232,0.45,0.166
17739,31.729,20.384,9.617,14.329,0.183,0.088
18396,67.005,18.958,8.81,29.085,0.434,0.149
19053,105.429,25.313,12.043,50.427,0.535,0.13
